id;match;team;player;total_pass;accurate_pass;total_long_balls;accurate_long_balls;goal_assist;accurate_own_half_passes;total_own_half_passes;accurate_opposition_half_passes;total_opposition_half_passes;aerial_won;duel_won;total_clearance;ball_recovery;was_fouled;good_high_claim;saved_shots_from_inside_the_box;saves;punches;minutes_played;touches;rating;possession_lost_ctrl;expected_assists;total_ball_carries_distance;ball_carries_count;total_progression;keeper_save_value;rating_version_original;rating_version_alternative;total_shots;goals_prevented;pass_value_normalized;dribble_value_normalized;defensive_value_normalized;goalkeeper_value_normalized;statistics_type_sport_slug;statistics_type_name;aerial_lost;duel_lost;total_tackle;won_tackle;unsuccessful_touch;fouls;challenge_lost;outfielder_block;best_ball_carry_progression;total_progressive_ball_carries_distance;progressive_ball_carries_count;interception_won;total_cross;accurate_cross;dispossessed;big_chance_created;shot_off_target;blocked_scoring_attempt;total_offside;expected_goals;key_pass;shot_value_normalized;total_contest;won_contest;on_target_scoring_attempt;goals;expected_goals_on_target;total_keeper_sweeper;accurate_keeper_sweeper;own_goals;big_chance_missed;last_man_tackle;hit_woodwork;error_lead_to_a_shot;clearance_off_line;error_lead_to_a_goal;penalty_conceded;penalty_faced;penalty_won;penalty_miss;penalty_save;source_id;source;edited
01KNCJNCKHHAZ479CXGYKVQJDH;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCK9RM8Z920NM6Y1KJ1J;17;12;2;;0;1;1;11;16;;1;1;1;1;;;;;61;32;6.2;12;0.00464236;143.52362374975;14;86.027710005377;;6.2;6.3;2;;-0.03;0.29;-0.14;;football;player;;4;;;4;1;2;;21.436115085559;79.048825414479;4;1;1;;1;;2;;;0.0754;;-0.34;1;;;;;;;;;;;;;;;;;;;15237889:1977:147464;sofascore;false
01KNCJNCKHHJJJ05YAM8JYQNRM;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKA0JMCK7GNEX7MKB7M;2;1;1;;0;1;2;;;;1;;;1;;;;;15;6;6.8;2;0.00002287;;;;;6.8;6.8;0;;-0.02;;0.2;;football;player;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15237889:1963:1106603;sofascore;false
01KNCJNCKHJ3YJZ486SV6DV4EA;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKA7AFCW666XGGP5TW0;20;18;;;0;8;8;10;12;;1;;2;;;;;;85;29;6.3;5;0.0271101;102.68731044216;10;66.23395926694;;6.3;6.8;3;;0.01;0.28;-0.09;;football;player;;3;;;2;3;;1;17.596242613905;54.47071841304;3;;1;;;;1;1;1;0.1332;1;-0.48;1;1;1;;0.1236;;;;;;;;;;;;;;;15237889:1963:986233;sofascore;false
01KNCJNCKHNFY4E5T02XPE1NET;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCK9F78ZZ85ZYDY00WB6;9;5;;;0;1;1;4;8;;2;;1;;;;;;29;16;6.5;6;0.0119979;65.427738486565;7;24.845085443035;;6.5;6.5;1;;0.03;0.2;-0.05;;football;player;2;5;1;1;;1;1;;12.194814202158;12.218142616617;1;1;1;;;;;1;2;0.0246;;-0.13;2;1;;;;;;;;;;;;;;;;;;15237889:1977:871273;sofascore;false
01KNCJNCKHQP2H71Q069Q1487G;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCKAE3JE0PR8FHXD0B0G;8;6;;;0;;;6;8;;1;;;1;;;;;13;11;6.5;3;0.016311;25.018461621772;3;5.0386830548841;;6.5;6.9;1;;-0.21;0.02;-0.01;;football;player;;;;;1;;;;;;;;;;;;;;;0.0268;;-0.12;;;1;;0.1558;;;;;;;;;;;;;;;15237889:1977:978562;sofascore;false
01KNCJNCKHS89907BRXQVMZ61X;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKAZR6D0T2RBFQ5N34X;28;21;2;;0;12;16;9;12;;6;2;3;3;;;;;83;47;6.5;11;0.0141352;106.75927335871;15;52.016098203968;;6.5;6.9;1;;-0.09;0.06;-0.28;;football;player;;;3;3;;;;;;;;1;4;;;;1;;;0.0473;;-0.23;;;;;;;;;;;;;;;;;;;;15237889:1963:881110;sofascore;false
01KNCJNCKHSZHR8MV94V4608KJ;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCK95VHJFWQJ3X4EB4ZB;8;6;3;3;0;2;2;4;6;1;3;;3;1;;;;;29;18;6.7;7;0.00172909;51.27351140184;6;20.746991399665;;6.7;6.9;1;;-0.1;0.1;-0.07;;football;player;;1;1;;1;;;;;;;;2;;1;;;1;;0.01;;-0.06;;;;;;;;;;;;;;;;;;;;15237889:1977:559036;sofascore;false
01KNCJNCKHTHJW8SGRE0VYE7FG;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKAHQGZX620YK0Q0PWN;32;29;4;1;0;25;25;4;7;2;5;4;2;2;;;;;90;46;6.3;5;0.00108115;115.23905180881;16;22.170753877601;;6.3;6.8;1;;-0.1;0.03;-0.22;;football;player;2;5;1;;;2;;;;;;1;;;1;;;1;;0.0126;1;0;;;;;;;;;;;;;;;;;;;;15237889:1963:220833;sofascore;false
01KNCJNCKHTX9EC9P0W1STJ86N;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCKAJGCXNZ47NYA5FEHF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;football;player;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15237889:1977:1829020;sofascore;false
01KNCJNCKHTZWQW2JTNFQPD4P1;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCKA6FCDJ2SQRFRVX89R;11;11;1;1;0;3;3;8;8;;6;;1;3;;;;;14;20;7.1;2;0.052509;40.378123623643;6;12.778904803485;;7.1;7;0;;0.28;0.03;-0.05;;football;player;;2;1;1;1;1;;;;;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;15237889:1977:1185617;sofascore;false
01KNCJNCKHW45T99Z9MZAAW6RZ;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKA1QZBTA46A5KDQFPY;2;1;1;1;0;1;1;;1;;1;1;1;;;;;;15;5;6.8;2;0.00000322;;;;;6.8;6.7;0;;-0.03;;0.25;;football;player;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15237889:1963:1633501;sofascore;false
01KNCJNCKHWAX2XS1YYEHCDN8B;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCKAQB1620F7NB2QV2F3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;football;player;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15237889:1977:1829023;sofascore;false
