id;slug;name;code3;short_name;complete_name;stadium;foundation;primary_color;secondary_color;text_color;source_ref;source;first_scraped_at;last_scraped_at;created_at;updated_at
01KNDCN5B84JTH72MQ3PNWZR08;girona-fc;Girona FC;GIR;Girona;Girona FC;;;#ffffff;#ff0000;#ff0000;24264;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B85CYDQT13GFPM601D;al-ahli;Al-Ahli;AAS;Al-Ahli;Al-Ahli;;;#339900;#ffffff;#ffffff;34469;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B85D9CF91H0WWC2BAW;brazil-u23;Brazil U23;BRA;Brazil U23;Brazil U23;;;#ffff00;#009933;#009933;332421;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.463Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B85ZS3J2ZXGN8V9DR4;fiorentina;Fiorentina;FIO;Fiorentina;Fiorentina;;;#542baa;#ffffff;#ffffff;2693;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B863KXK829129FQ1G0;cercle-brugge;Cercle Brugge;CER;Cercle Brugge;Cercle Brugge;;;#006633;#003333;#003333;2929;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B86ABASDHAZ7DRE2JK;frosinone;Frosinone;FRO;Frosinone;Frosinone;;;#ffff00;#0033cc;#0033cc;2801;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B87X01SPW08QFVETDZ;chile;Chile;CHI;Chile;Chile;;;#ff0000;#3300cc;#3300cc;4754;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B89DKJPWVPZPQKZCWH;bahia;Bahia;BAH;Bahia;Bahia;;;#ffffff;#333399;#333399;1955;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B89YSY79SVKXRZFNK6;southampton;Southampton;SOU;Southampton;Southampton;;;#ff0000;#ffffff;#ffffff;45;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.209Z;2026-04-04T23:18:39.209Z
01KNDCN5B8EFDHTH45AX1M04A9;cruzeiro;Cruzeiro;CRU;Cruzeiro;Cruzeiro;;;#0033cc;#0033cc;#0033cc;1954;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.463Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B8FGKYMVDQW56MCES3;red-bull-bragantino;Red Bull Bragantino;BRA;RB Bragantino;Red Bull Bragantino;;;#363636;#d8d8d6;#d8d8d6;1999;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.463Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B8G5NNDQDT8Z9Y7S3C;brazil-u20;Brazil U20;BRA;Brazil U20;Brazil U20;;;#ffff00;#009933;#009933;22672;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.463Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
