id;player;team;source_ref;source;first_scraped_at;last_scraped_at;created_at;updated_at
01KNDDZTB59AWPGFCB8DMN2P96;01KNDAWE7Q4RDC6402FF31403G;01KNDAWE7Q90VXC95PE58762VS;1185617:1977;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
01KNDDZTB59GM0MFPMBAAK7CYB;01KNDAWE7QMT6CADPRKGPJ9ZC2;01KNDAWE7Q90VXC95PE58762VS;913598:1977;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
01KNDDZTB5BP31PMZ2NE3YTH61;01KNDAWE7RZ63EVHXXXFQN3T1H;01KNDAWE7Q90VXC95PE58762VS;797893:1977;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
01KNDDZTB5CE670SJM0NBXANP4;01KNDAWE7QYP2B6W09CCBK6TSY;01KNDAWE7Q90VXC95PE58762VS;147464:1977;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
01KNDDZTB5DWB75TNA3EH33W5E;01KNDAWE7QTG10A30J0WY452SV;01KNDAWE7Q90VXC95PE58762VS;241488:1977;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
01KNDDZTB5FM1HAR6FHDJVPVF2;01KNDAWE7Q0ZES2WWJ3N36SPTJ;01KNDAWE7Q90VXC95PE58762VS;978562:1977;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
01KNDDZTB5GSD9XJYWZVJQB3C3;01KNDAWE7QVCG5FKSTX8T288NV;01KNDAWE7Q90VXC95PE58762VS;794838:1977;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
01KNDDZTB5H46F484JDTN9XM71;01KNDAWE7RH18Q9S0DFHS1D3AW;01KNDAWE7Q90VXC95PE58762VS;1117032:1977;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
01KNDDZTB5JRZB2XXYQ5EJZHFW;01KNDAWE7RYRPRYG2KQA2T3Q0C;01KNDAWE7QAGKJY7409MEKWKJC;220833:1963;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
01KNDDZTB5K984V64JDZ4CGYC3;01KNDAWE7QBP74Y7FTEG48QFW9;01KNDAWE7Q90VXC95PE58762VS;831778:1977;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
01KNDDZTB5KP44X7YYB2AW9F2F;01KNDAWE7RJMG2C40QHQ302RM1;01KNDAWE7Q90VXC95PE58762VS;1464929:1977;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
01KNDDZTB5NRPCKM096VMTZWCV;01KNDAWE7RNXM6SDRMS9JZSXQQ;01KNDAWE7QAGKJY7409MEKWKJC;874729:1963;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
01KNDDZTB5P5H2HT0DA25TT2H4;01KNDAWE7QQJJQHVZCJE0S4DBP;01KNDAWE7Q90VXC95PE58762VS;822729:1977;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
01KNDDZTB5Q782MT6RV6483JJD;01KNDAWE7R6M0GB6WS3DVM3HGK;01KNDAWE7Q90VXC95PE58762VS;1829023:1977;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
01KNDDZTB5RC62VEADFZE1D40K;01KNDAWE7QDAY8HHMW79584183;01KNDAWE7Q90VXC95PE58762VS;559036:1977;sofascore;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z;2026-04-04T23:41:56.965Z
